Utterance,Original_Labels,DeepSeek
"Eh, he said, thank you very much, he thinks you look very pretty tonight, your hair, golden like the sun. (joy)",Statement Non Opinion,Answer
So you're a chef? (neutral),Question,Question
I'm also thinking about opening up my own restaurant. (joy),Answer,Statement Opinion
"Oh, really. (surprise)",Backchannel,Acknowledge
"Monica, can I talk to you behind my menu, please. What are you doing? (neutral)",Question,Question
"Well, I was having a conversation. (neutral)",Answer,Answer
"Yeah but, Mischa is so interested in you, that Sergei and I haven't been able to say two words to each other. (anger)",Statement Non Opinion,Statement Opinion
What do you want me to do? Just sit here silently while you three have a conversation? (anger),Question,Question
That would be great. Thank you. (neutral),Answer,Agreement
so we finally get to the top of the mountain and airhead here forgets the camera! (disgust),Statement Non Opinion,Statement Opinion
"Oh, y'know the same thing happened to me one time. (neutral)",Statement Non Opinion,Acknowledge
When did that happen to you?! (surprise),Question,Question
Don't you remember when we were jogging in the park and we saw that really pretty bird and wanted to take a picture--I didn't have my camera! (neutral),Answer,Statement Non Opinion
"Oh yeah. First off all, chasing the Churo guy isn't jogging. (disgust)",Statement Opinion,Statement Opinion
"Oh, this is so good you have got to try it. (joy)",Statement Opinion,Statement Opinion
"Oh, damn! I got it on my pants. (anger)",Statement Non Opinion,Statement Non Opinion
"Here, I'll get it. (neutral)",Statement Non Opinion,Command
We'd better take these pants off upstairs or that stain's gonna set. (neutral),Statement Opinion,Command
Yep. I'm gonna wear these on our date tonight. (joy),Agreement,Statement Opinion
"Oh, great! (surprise)",Others,Acknowledge
"Okay, bye! Oh my God!! (joy)",Greeting,Acknowledge
That was unbelievable! (surprise),Statement Opinion,Statement Opinion
"Yeah, wow, sorry Rach. (sadness)",Apology,Apology
I don't believe they're brother and sister. (surprise),Statement Opinion,Statement Opinion
They're brother and sister!!! (surprise),Statement Non Opinion,Statement Opinion
Action! (neutral),Command,Command
I found the picture! (anger),Statement Non Opinion,Statement Non Opinion
What picture?! (surprise),Question,Question
The picture of my wife! In your pack! (anger),Answer,Statement Non Opinion
You went through my personal property? (anger),Question,Question
Why do have a picture of Paulette in your pack?! (anger),Question,Question
"Because Vincent, we were lovers. For two years! (anger)",Answer,Statement Non Opinion
Cut! Wonderful! (joy),Apology,Statement Opinion
Great scene yeah? (joy),Statement Opinion,Question
"Oh you're awesome! And, in that last speech? You soaked me. (joy)",Apology,Statement Opinion
Here's your call sheet for tomorrow. (neutral),Statement Non Opinion,Statement Non Opinion
I know. (neutral),Statement Non Opinion,Acknowledge
"So Chandler, your parents must've been thrilled when you told them you were engaged. (joy)",Statement Opinion,Statement Opinion
"Oh yeah, I should probably call them. (neutral)",Statement Opinion,Statement Non Opinion
I remember when we first got engaged. (joy),Statement Non Opinion,Statement Opinion
"Oh, I don't think I ever heard that story. (neutral)",Statement Opinion,Statement Non Opinion
"Well, I'd gotten Judy pregnant. I still don't know how that happened. (joy)",Statement Non Opinion,Statement Opinion
You don't know how that happened?! Your dog thought my diaphragm was a chew toy! (disgust),Statement Non Opinion,Disagreement
What a sweet story. (neutral),Statement Opinion,Statement Non Opinion
"Well, at least you're not hearing it for the first time at your fifth grade Halloween party. (disgust)",Statement Non Opinion,Statement Opinion
What?! They wanted a scary story! (surprise),Statement Non Opinion,Others
"Anyway, we're really excited about our wedding plans, and well I guess pretty soon we'll be making a big withdrawal from the Monica wedding fund. (joy)",Statement Non Opinion,Statement Opinion
What? (surprise),Question,Question
"You tell her Jack, I can't do it. (fear)",Answer,Command
What happened? You still have the Monica wedding fund don't you? (surprise),Question,Question
"We have it. Only now, we call it the beach house. (neutral)",Answer,Statement Non Opinion
"After applying the Waxine and linen strips to leg number one, (neutral)",Statement Non Opinion,Statement Non Opinion
Did that! (joy),Statement Non Opinion,Acknowledge
Grasp one of the linen strips by its 'easy grab tab' and pull it off in one quick pain free motion. (neutral),Command,Command
Okay. Ow!!!!! Ow-oh-oh! (surprise),Others,Acknowledge
Was it not pain-free? (surprise),Question,Question
"No. It was painful. Oh my God , they should call it Pain-zine, now with a little wax. (disgust)",Answer,Disagreement
"Huh, well, the girls in the satin nighties on the commercial don't seem to think it's that bad. (neutral)",Statement Non Opinion,Statement Opinion
That's because their nerves are probably deadened from being so stupid. (anger),Statement Opinion,Statement Opinion
"But hey, y'know if you don't believe me, please, by my guest. (neutral)",Statement Opinion,Statement Non Opinion
Ow-ow-ow-ow! Oh my God!!! (surprise),Others,Acknowledge
"Now umm, remember I'm still learning. (neutral)",Statement Non Opinion,Statement Non Opinion
"One, two, three, four! (neutral)",Others,Statement Non Opinion
You know the song! Sing along! (joy),Statement Non Opinion,Command
So? (neutral),Question,Question
No! (sadness),Disagreement,Disagreement
Oh my God! That's David! (surprise),Statement Non Opinion,Statement Opinion
David who? (neutral),Question,Question
"David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David! (sadness)",Answer,Statement Opinion
Oh my God! (surprise),Others,Statement Opinion
"Oh, you say someone's name enough, they turn around. (neutral)",Statement Non Opinion,Statement Non Opinion
Phoebe? (surprise),Others,Question
David! What-what are you doing here? Aren't you supposed to be in Russia? (surprise),Question,Question
"Yeah, I'm just, I'm just in town for a conference. Umm, (neutral)",Answer,Statement Non Opinion
Well... Yeah. You look great too. Did you get a haircut? (joy),Question,Statement Opinion
Yeah. Well I-I got like thirty of them. (neutral),Answer,Statement Non Opinion
Yeah. (neutral),Backchannel,Acknowledge
Yes! Santa's coming! (joy),Statement Non Opinion,Agreement
"Hey, uh, I'm really, really sorry about what happened in the cafeteria today. (sadness)",Apology,Apology
"It's no big deal. Hey, y'know, you do what you gotta do. Right? (neutral)",Question,Acknowledge
"But hey, it's not just me, I mean the scientists and the tour guides (neutral)",Statement Non Opinion,Statement Non Opinion
Whatever. (neutral),Others,Acknowledge
"Okay, Mon, back me up here. (neutral)",Command,Command
"Where you work the uh, waiters eat with the waiters, right? (neutral)",Question,Question
"And the chefs eat with the other chefs, right? (neutral)",Question,Question
I eat by myself in the alley because everybody hates me. (sadness),Answer,Statement Opinion
"Look, Ross, really it's-it's no big deal. (neutral)",Statement Opinion,Statement Non Opinion
"Y'know you wear a white coat, I wear a blue blazer, if that means we can't be friends at work, then so be it. (sadness)",Statement Opinion,Statement Opinion
"Y'know, hey I understand. (neutral)",Statement Non Opinion,Acknowledge
Y'know? (neutral),Backchannel,Backchannel
"Hey, when I'm in a play and you're in the audience, I don't talk to you, right? (neutral)",Statement Non Opinion,Statement Non Opinion
"So it's y'know, it's uh, it's cool. (neutral)",Statement Opinion,Statement Non Opinion
I'll see you tomorrow. (neutral),Statement Non Opinion,Statement Non Opinion
"Yeah, when we're in the audience he doesn't talk to us, but he does wave. (neutral)",Statement Non Opinion,Statement Non Opinion
You did look like an idiot. (joy),Statement Opinion,Statement Opinion
"Hey, I wasn't the only one who looked like an idiot. (neutral)",Statement Opinion,Disagreement
All right? (neutral),Backchannel,Question
"Remember when Ross tried to say, ""Butternut squash?"" (joy)",Statement Non Opinion,Statement Non Opinion
"And it came out, ""Squatternut buash?"" (joy)",Statement Non Opinion,Statement Non Opinion
Yeah that's the same. (neutral),Statement Opinion,Agreement
That's it. That's my worse Thanksgiving. (sadness),Statement Opinion,Statement Opinion
Oh wait! That can't be the one Rachel's talking about. She didn't even know that happened. So which one was it? (neutral),Question,Question
"Umm, I-I really don't want to tell this story. (sadness)",Answer,Statement Opinion
"Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about. (neutral)",Statement Opinion,Statement Opinion
"Y'know, for me anyway. (sadness)",Others,Statement Opinion
"And of course, the Indians. (sadness)",Statement Non Opinion,Statement Non Opinion
"Look umm, of all people, you do not want me to tell this story! (anger)",Statement Opinion,Statement Opinion
"Hi, guys. (neutral)",Greeting,Greeting
Hi! Phoebe. (joy),Greeting,Greeting
Hi Phoebe. (neutral),Greeting,Greeting
"I-I wanted to apologise if I--y'know seemed a tad edgy yesterday at my shower. Y'know it's just the hormones, y'know. (sadness)",Apology,Apology
No we (neutral),Backchannel,Acknowledge
Hormones. (neutral),Others,Statement Non Opinion
"hormones, yeah. (neutral)",Agreement,Backchannel
Your parents'? (neutral),Question,Question
"Yeah, they're out of town. (neutral)",Answer,Answer
Ohh. (surprise),Backchannel,Acknowledge
"Yeah-yeah, it's this (neutral)",Others,Backchannel
Yeah that works. (neutral),Statement Opinion,Agreement
They-they-they can smell fear. (fear),Statement Non Opinion,Statement Non Opinion
Bing! Ho! And the Bing-ette! (joy),Others,Greeting
"Honey, you remember my boss Doug right? (neutral)",Question,Statement Non Opinion
"Yes, hi. (neutral)",Answer,Greeting
"Hi. So good news, the divorce is final. I signed the papers this A.M. (joy)",Statement Non Opinion,Statement Opinion
"I didn't know you and Carol were getting divorced, I'm sorry. (sadness)",Statement Non Opinion,Apology
"Sorry? Finally chewed my leg out of that bear trap. Hey, congratulations to you guys though! (joy)",Greeting,Statement Opinion
No leg-chewing for us sir. (neutral),Statement Non Opinion,Statement Non Opinion
"Oh well, give it time. (neutral)",Statement Opinion,Statement Non Opinion
"So the divorce, the marriage, we've got a lot to celebrate. (joy)",Statement Opinion,Statement Opinion
How about we all go out to dinner tomorrow night? (neutral),Question,Question
"Tomorrow night it is then, I should be out of court by six. (joy)",Answer,Agreement
They keep throwing these sexual harassment cases at me and I keep knocking them out of the park! (joy),Statement Non Opinion,Statement Opinion
"Okay, I'll see you tomorrow! (joy)",Statement Non Opinion,Acknowledge
"Just so you know, we're not seeing him tomorrow. (neutral)",Statement Non Opinion,Statement Non Opinion
I-I cannot spend another evening with that man. (disgust),Statement Opinion,Statement Opinion
Do you remember how he behaved at our wedding? (disgust),Question,Question
No. (neutral),Answer,Answer
That's because he wasn't invited because of the way he behaved at our engagement party. (disgust),Statement Opinion,Statement Opinion
"Oh yeah. Boy, urine cuts (disgust)",Agreement,Statement Opinion
"Now maybe you just like wanna but the whole duck in there! Who cares, y'know? Now I got the legs (neutral)",Others,Statement Opinion
"How many times have I told you guys, you (neutral)",Statement Opinion,Statement Non Opinion
Hi Chandler. (neutral),Greeting,Greeting
Hey! (neutral),Greeting,Greeting
"Uh, listen, I need that broiling pan that Joey borrowed the other day. (neutral)",Statement Non Opinion,Statement Non Opinion
"Oh that was yours? Uh, yeah, we used it when the duck was throwing up caterpillars. (sadness)",Statement Non Opinion,Answer
