Utterance,Emotion,"No,DS_r1_emotion"
That-that he's a-a complex fellow who's unlikely to take a wife! (anger),anger,anger
That-that he's against marriage and always will be! (anger),anger,anger
You got (neutral),neutral,neutral
"You know you probably didn't know this, but back in high school, I had a, um, major crush on you. (fear)",fear,fear
I knew. (neutral),neutral,neutral
You did! Oh.... I always figured you just thought I was Monica's geeky older brother. (surprise),surprise,surprised
I did. (neutral),neutral,neutral
Oh. (sadness),sadness,sadness
"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here--but do you think it would be okay if I asked you out? (fear)",fear,fear
Sometime? (neutral),neutral,fear
Maybe? (neutral),neutral,fear
"Yeah, maybe... (joy)",joy,neutral
"Okay... okay, maybe I will... (joy)",joy,neutral
"Well, I just thought it'd make me feel good to do something nice for my friend. (neutral)",neutral,joy
"Well, you're amazing. (joy)",joy,joy
Oh no-no-no. (neutral),neutral,neutral
"A TV as if it appears from nowhere! That's the dream! Man, how did you afford this stuff? (surprise)",surprise,surprised
"Well, y'know I'm 29. I mean who needs a savings account. (neutral)",neutral,neutral
"Oh, you are the best friends anyone has ever had. (joy)",joy,joy
"Oh, I don't know. (fear)",fear,neutral
"Oh-no-no-no, you are! (joy)",joy,joy
"You do this, you give me the great advice, and hey listen, I was thinking about what you said yesterday about focusing on one woman, I'm gonna do that. (joy)",joy,joy
You mean with Casey. (neutral),neutral,neutral
"No-no-no, I think I'm gonna see how things go with Kathy. She's pretty cool. (neutral)",neutral,neutral
Or Casey. (neutral),neutral,neutral
"No-no, Kathy. (neutral)",neutral,neutral
Could be Casey. (neutral),neutral,neutral
"No. No, Kathy. (neutral)",neutral,neutral
Consider Casey. (neutral),neutral,neutral
I think somebody's got a little crush on Casey. (joy),joy,joy
How 'bout I fix you two up? (joy),joy,joy
What do you think? (joy),joy,neutral
That all the pieces of my life are falling right into place! (joy),joy,joy
"Hey, anybody got a length of rope about six feet long with a little nouse at the end? (neutral)",neutral,fear
"Honey, what's the matter? (neutral)",neutral,neutral
I just saw Janice. (neutral),neutral,fear
"Cause every time I see your face, I can't help but fall from grace. I know..... (joy)",joy,sadness
Wow! This girl is good. (surprise),surprise,surprised
"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before. (anger)",anger,joy
I like her. (neutral),neutral,neutral
Why? Because she can sing and play guitar and do both at the same time? (neutral),neutral,disgust
"Well, that's pretty much all I'm looking for from these people. (neutral)",neutral,neutral
Look at you. All jealous. (anger),anger,neutral
"Yeah Pheebs, come on, you two have completely different styles. Y'know, she's more.. y'know, and you're more (neutral)",neutral,neutral
Say you'll stay beside me (sadness),sadness,joy
"Okay, see, see, everyone else is happy she's done. (anger)",anger,disgust
"Okay, my next song's called: Phoebe Buffay, What Can I Say. (neutral)",neutral,neutral
"I Really Loved When We Were Singing Partners, And I Shouldn't Have Left You That Way. (neutral)",neutral,sadness
"Oh no, one of those 'look for the hidden meaning' songs. (neutral)",neutral,disgust
"Yes, hello. (neutral)",neutral,neutral
I have a question. (neutral),neutral,neutral
"Umm, I used your pen to draw on my friend's face. (neutral)",neutral,fear
A beard and a moustache. (neutral),neutral,neutral
Thank you. (neutral),neutral,neutral
"No, (neutral)",neutral,neutral
What?! What else did he say? (surprise),surprise,surprised
"Umm, he said he thought I was funny. (neutral)",neutral,neutral
"So... Okay, look-look umm, let's just go downstairs, we'll have some fun, and you will forget all about it. (neutral)",neutral,joy
"Ross, no! There is (anger)",anger,anger
"Oh, come on! Rach, it's-it's not that bad. (neutral)",neutral,neutral
"Ross, I am a human doodle!! (anger)",anger,anger
"Look, just because some idiot drew on your face doesn't mean you shouldn't have any fun! (neutral)",neutral,anger
"And besides, hey-hey-hey no one is even gonna (neutral)",neutral,neutral
"Okay, there was (neutral)",neutral,neutral
Come on! (joy),joy,anger
"Oh wait, don't you have to pay for your, Busty Ladies? (joy)",joy,disgust
"No, it's okay. Some-some kid asked me to pick it up for him, but I don't (neutral)",neutral,fear
Oh my God!!! What are you doing?!! (surprise),surprise,surprised
"You said, you wanna come in for some lemonade? (neutral)",neutral,neutral
So?! (disgust),disgust,anger
"Whoa, ah!! We're you just gonna give me some lemonade? (surprise)",surprise,surprised
Yeah huh!! Cover yourself up! (disgust),disgust,disgust
"Oh right, right. (neutral)",neutral,neutral
"I don't believe this! When someone asks you in for lemonade, and to you that means they wanna have sex? (disgust)",disgust,anger
Well usually...yeah! (surprise),surprise,neutral
"Well, not just lemonade, iced tea, sometimes juice. (neutral)",neutral,neutral
"Well, sorry, I just, I thought you liked me. (neutral)",neutral,sadness
I'm such a jerk. (sadness),sadness,sadness
"It's okay. I suppose it could happen to anyone, not anyone I know, but... By the way I can still see it. (neutral)",neutral,neutral
Hmmm... this is so nice. (joy),joy,joy
"OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment. (neutral)",neutral,neutral
OK. (neutral),neutral,neutral
"OK. Here goes. For a while now, I've been wanting to, um.... (neutral)",neutral,neutral
Ohhh!!!! (surprise),surprise,surprised
"Yes, yes, that's right... (neutral)",neutral,neutral
"Oh, look at the little cat! (surprise)",surprise,joy
What? Ow! (surprise),surprise,surprised
"Well, I was probably going to do it at some point. (neutral)",neutral,neutral
I didn't mean (neutral),neutral,neutral
It's brilliant! (joy),joy,joy
"Goodbye Mike, we'll see you at the wedding, fella! (joy)",joy,joy
"well, we probably won't invite you to the wedding... (neutral)",neutral,neutral
"Thank you, Chandler. (neutral)",neutral,joy
Sincerely. (neutral),neutral,joy
"Well, you're welcome! Glad I could help. (joy)",joy,joy
"David, I'm pretending to (neutral)",neutral,neutral
"Okay, you have 19 questions left. Use them wisely. Come on Joey! You can't win if you don't ask any (joy)",joy,anger
What?! (surprise),surprise,surprised
"Well, you promised me a fun road trip! (joy)",joy,anger
We've been on the road six hours and you've been asleep for five and a half! (anger),anger,anger
We are switching at the next rest stop and (anger),anger,anger
All right. All right. (neutral),neutral,neutral
Yeah! And until then you are going to sing to me because the radio's broken and you are selfish but have a nice voice. (anger),anger,anger
Really? I don't (surprise),surprise,surprised
Sing!! (anger),anger,anger
Morning! (joy),joy,neutral
Everything was delicious! (joy),joy,joy
Thank you! (joy),joy,joy
It was. The duck in particular was superb. (joy),joy,joy
Thank you! You haven't said anything... (joy),joy,neutral
Actually I do have one small complaint. (neutral),neutral,neutral
Oh..please!I-I welcome criticism. (neutral),neutral,surprised
The musician right outside the restaurant...it's kind of a mood-killer! (sadness),sadness,disgust
What musician? (surprise),surprise,surprised
We did? (neutral),neutral,surprised
You owe me 20 bucks. (joy),joy,neutral
Thank you. Thank you so much! (joy),joy,joy
"Chandler, here you go, got your traditional Thanksgiving feast, you got your tomato soup, your grilled cheese fixin's, and your family size bag of Funyuns. (neutral)",neutral,neutral
"Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner? (surprise)",surprise,surprised
"What, what, what is it with you and this holiday? (anger)",anger,neutral
"All right, I'm nine years old. (neutral)",neutral,neutral
"Oh, I hate this story. (sadness)",sadness,disgust
We just finished this magnificent Thanksgiving dinner. (neutral),neutral,neutral
"I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced. (sadness)",sadness,sadness
Oh my god. (surprise),surprise,surprised
Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse. (sadness),sadness,sadness
"Hey, who's this little naked guy? (surprise)",surprise,surprised
That little naked guy would be me. (neutral),neutral,neutral
"Aww, look at the little thing. (surprise)",surprise,joy
Who are those people? (surprise),surprise,neutral
Got me. (surprise),surprise,neutral
"Oh, that's Nana, right there in the middle. 'Me and the gang at Java Joe's'. (neutral)",neutral,joy
"Wow, Monica, you look just like your grandmother. How old was she there? (surprise)",surprise,surprised
"Let's see, 1939... yeah, 24, 25? (neutral)",neutral,neutral
Looks like a fun gang. (neutral),neutral,joy
"Ooh, look-look-look-look-look! I got Monica naked! (joy)",joy,joy
"So, what's this about? (joy)",joy,neutral
"Rachel has something that she wants to tell you and umm, I believe that this is your red sweater. (neutral)",neutral,neutral
No. This is my red sweater. (neutral),neutral,neutral
Oh no. Could I get anyone a coffee or...poison? No? Just for me? Okay. (fear),fear,surprised
What's going on Rach? (joy),joy,neutral
"Nothing! Phoebe kinda made a mistake. But y'know you do wear that sweater a lot, are you involved in some kind of dare? (fear)",fear,neutral
"Y'know, I'm actually glad Phoebe called. (joy)",joy,joy
"I know we broke up because you thought I wasn't mature enough, but I've really grown up and think we should get back together. (joy)",joy,joy
"Oh, it's just not the right time. (sadness)",sadness,neutral
It is the right time. (joy),joy,neutral
Okay. (neutral),neutral,neutral
Kay! (joy),joy,neutral
in the category of Favorite Returning Male Character the nominees are: John Wheeler from (neutral),neutral,neutral
What the?! (surprise),surprise,surprised
Yeah. (neutral),neutral,neutral
"You're an Aquarius, huh? (neutral)",neutral,neutral
I bet you're a Gemini. (neutral),neutral,neutral
Nope. (neutral),neutral,neutral
Taurus? (neutral),neutral,neutral
Nope. (neutral),neutral,neutral
Virgo? (neutral),neutral,neutral
Nope. (neutral),neutral,neutral
Sagittarius? (neutral),neutral,neutral
Yep. (neutral),neutral,neutral
"I knew it! I knew it, ahh.... (joy)",joy,joy
You're not gonna speed anymore right? (neutral),neutral,neutral
I won't speed. (neutral),neutral,neutral
And you promise you'll get this taken care of right away? (neutral),neutral,neutral
I promise. (neutral),neutral,neutral
And in the meantime you better let him drive. Does he have a license? (neutral),neutral,neutral
Yeah! (neutral),neutral,joy
Can he handle the stick? (neutral),neutral,neutral
Oh well (neutral),neutral,neutral
I can handle the stick!! (anger),anger,anger
Hey! (joy),joy,neutral
I can't believe this is taking so long. How are you doing? (sadness),sadness,anger
Oh not bad. Do you know that feeling when you're trying to blow a Saint Bernard out your ass? (sadness),sadness,disgust
Weirdest thing. Did I hear----Mother of God it's true! (surprise),surprise,surprised
Chandler Bing! (surprise),surprise,joy
Janice (surprise),surprise,neutral
"Not just Janice, Janice in labor, contracting and everything. (joy)",joy,surprised
"Oh, this should be easy. I have a very wide pelvis. You remember Chandler. (neutral)",neutral,joy
Janice I didn't even know you were pregnant! Who's the unwitting human who's essence you've stolen? (surprise),surprise,surprised
It's you. This is yours. (neutral),neutral,joy
What?! (surprise),surprise,surprised
Look how nervous he gets! We haven't slept together in years! (joy),joy,joy
